Site,Date,Month,Species,Functional_Group,sci_name,fish,cots,cots_density_ha,fish_density_ha,Survey_ID
aow leuk,2025-02-28,2025-02-01,Angelfish,Invertivore,Pomacanthus spp.,0,1,5,0,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Butterflyfish,Herbivore,Chaetodon spp.,68,1,5,340,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,5,1,5,25,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Emperorfish,Mesopredator,Lethrinus spp.,7,1,5,35,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Parrotfish,Herbivore,Scarus spp.,32,1,5,160,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Rabbitfish,Herbivore,Siganus spp.,62,1,5,310,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Red_Breast,Invertivore,Cheilinus fasciatus,17,1,5,85,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Slingjaw,Invertivore,Epibulus insidiator,4,1,5,20,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,6,1,5,30,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,1,1,5,5,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Thicklip,Invertivore,Hemigymnus melapterus,8,1,5,40,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Trevally,HTLP,Caranx spp.,6,1,5,30,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,Triggerfish,Invertivore,Balistidae spp.,1,1,5,5,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,lrg_Grouper,HTLP,Epinephelus spp.,12,1,5,60,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,lrg_Snapper,HTLP,Lutjanus spp.,0,1,5,0,aow leuk-28-Feb-25
aow leuk,2025-02-28,2025-02-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,46,1,5,230,aow leuk-28-Feb-25
aow leuk,2025-03-05,2025-03-01,Angelfish,Invertivore,Pomacanthus spp.,1,3,15,5,aow leuk-05-Mar-25
aow leuk,2025-03-05,2025-03-01,Butterflyfish,Herbivore,Chaetodon spp.,61,3,15,305,aow leuk-05-Mar-25
aow leuk,2025-03-05,2025-03-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,7,3,15,35,aow leuk-05-Mar-25
